CustomerID,CustomerName,Gender,Age,Mobile Number,Annual Income (k$),Spending Score (1-100)
1,Sundhar S G,Male,19,8870293265,15,39
2,Harish P,Male,21,9497582364,15,81
3,Akhila,Female,20,9597834155,16,6
4,Priya,Female,23,6358942716,16,77
5,Hema,Female,31,7330285486,17,40
6,Nisha,Female,22,6985231475,17,76
7,Bhanu,Female,35,7500265753,18,6
8,Divya,Female,23,8965741256,18,94
9,Vijay,Male,64,7880254937,19,3
10,Saranya,Female,30,9994717913,19,72
11,Kishore K,Male,67,7824269452,19,14
12,Indhu,Female,35,9588364123,19,99
13,Samrutha,Female,58,9752364272,20,15
14,Anushya,Female,24,7334656245,20,77
15,Abinesh,Male,37,9885642723,20,13
16,Arun,Male,22,7456923156,20,79
17,Samyuktha,Female,35,8963236135,21,35
18,Bharani,Male,20,8546103245,21,66
19,Deepak,Male,52,7562886436,23,29
20,Ramya,Female,35,9642847036,23,98
21,Aakash,Male,35,8761563326,24,35
22,Akhil,Male,25,7845614583,24,73
23,Hema,Female,46,8321567637,25,5
24,Murali,Male,31,7625863647,25,73
25,Asha,Female,54,9826475385,28,14
26,Ashwin,Male,29,8355463762,28,82
27,Karpagam,Female,45,8870528095,28,32
28,Pranesh,Male,35,7651354952,28,61
29,Akhilandeswari,Female,40,9853516347,29,31
30,Vijaya,Female,23,8965320141,29,87
31,Ramesh,Male,60,7652468451,30,4
32,Radha,Female,21,6348812485,30,73
33,Ganesh,Male,53,8963756813,33,4
34,Eshwaran,Male,18,9413474486,33,92
35,Dharsha,Female,49,8946435538,33,14
36,Pavithra,Female,21,9976415593,33,81
37,Dharani,Female,42,6387338684,34,17
38,Chitra,Female,30,6546613476,34,73
39,Lakshmi,Female,36,9843756465,37,26
40,Disha,Female,20,8695313342,37,75
41,Gomathi,Female,65,8453647543,38,35
42,Sownder,Male,24,9663645356,38,92
43,Viswanathan,Male,48,6894666585,39,36
44,Gayathri,Female,31,9653558753,39,61
45,Mohana,Female,49,8794354834,39,28
46,Farina,Female,24,8636853586,39,65
47,Gowthami,Female,50,7892374345,40,55
48,Rekha,Female,27,8525874547,40,47
49,Isha,Female,29,9564653865,40,42
50,Radhika,Female,31,8487946535,40,42
51,Swathi,Female,49,9864536332,42,52
52,Vimal,Male,33,9835437235,42,60
53,Sneha,Female,31,8985262355,43,54
54,Sundharam,Male,59,9575623546,43,60
55,Anagha,Female,50,8954635538,43,45
56,Subramaniam,Male,47,9873845634,43,41
57,Eshwari,Female,51,9863665475,44,50
58,Rangaraj,Male,69,6864536566,44,46
59,Akhila,Female,27,7653546233,46,51
60,Gopal,Male,53,9565314543,46,46
61,Muthuraj,Male,70,8945156245,46,56
62,Rohith,Male,19,9874656454,46,55
63,Thendral,Female,67,7854216857,47,52
64,Kamatchi,Female,54,9874561566,47,59
65,Ilayaraja,Male,63,8645574524,48,51
66,Vasanth,Male,18,8654842425,48,59
67,Farina,Female,43,6386485422,48,50
68,Gomathi,Female,68,9796786572,48,48
69,Karthi,Male,19,9654648563,48,59
70,Rekha,Female,32,6676543853,48,47
71,Duraipandi,Male,70,6936786543,49,55
72,Meenatchi,Female,47,8335648835,49,42
73,Subbulakshmi,Female,60,9646647635,50,49
74,Indhira,Female,60,9767453645,50,56
75,Baskar,Male,59,9353475232,54,47
76,Rakesh,Male,26,9874515253,54,54
77,Geetha,Female,45,7654658345,54,53
78,Vinoth,Male,40,8988683663,54,48
79,Ramya,Female,23,9825453223,54,52
80,Kanaka,Female,49,9364752422,54,42
81,Naatu Durai,Male,57,9867453535,54,51
82,Shankar,Male,38,9500059924,54,55
83,Anand,Male,67,9769584252,54,41
84,Selvi,Female,46,8486453456,54,44
85,Rithika,Female,21,9845225345,54,57
86,Ranveer,Male,48,7568464534,54,46
87,Soundarya,Female,55,9845525652,57,58
88,Divya,Female,22,6363573535,57,55
89,Srinithi,Female,34,8646553324,58,60
90,Sonam Kapoor,Female,50,9784472545,58,46
91,Rekha,Female,68,7548683153,59,55
92,Dhanush,Male,18,9854648752,59,41
93,Ajith,Male,48,9843448555,60,49
94,Simran,Female,40,7868354335,60,40
95,Farina,Female,32,7564845664,60,42
96,Sundhar,Male,24,8789645585,60,52
97,Vrushali,Female,47,7843555567,60,47
98,Draupathi,Female,27,9357643586,60,50
99,Krishna,Male,48,9878985464,61,42
100,Arjun,Male,20,7985643572,61,49
101,Sikandini,Female,23,7854557254,62,41
102,Krithika,Female,49,8355134566,62,48
103,Shaheer,Male,67,9335656735,62,59
104,Harish,Male,26,9497865461,62,55
105,Saravanan,Male,49,8764553563,62,56
106,Akhila,Female,21,6848934618,62,42
107,Raakamma,Female,66,7854678456,63,50
108,Thangaraj,Male,54,9784387334,63,46
109,Duraisaamy,Male,68,8541989664,63,43
110,Azhar Khan,Male,66,7646565485,63,48
111,Ramasaamy,Male,65,9645384254,63,52
112,Haashini,Female,19,8754453876,63,54
113,Latha,Female,38,7669873465,64,42
114,Jayakkavin,Male,19,8415515378,64,46
115,Saranya,Female,18,8979455354,65,48
116,Swetha,Female,19,9335848565,65,50
117,Lakshmi,Female,63,9837564826,65,43
118,Priyanka,Female,49,9878432575,65,59
119,Raashi,Female,51,7578566853,67,43
120,Sonakshi,Female,50,8566487864,67,57
